sample_id,reference,hypothesis,wer,cer
0,"Obiara n’enyi nnyɛ dzen dɛ ɔbɔbɔ no nkenyan; Na sɛ dɛm a, woana koraa nye nyia obotum emi m’enyim gyina?",obiara na enyi nyɛden dɛ ɔbɔbɔ no nkenyan na sadamaa wɔna koraa nyi nyia ɔbɔtum emim enyi m gyina,0.6,0.1375
1,"Nyew, ebɛyɛ dɛ nyia ɔda epo finimfin.",inyo âbâ yâdâ nyaa ôdâ po finfin,1.0,0.4483
2,"Na obisaa hɔn dɛ, Afotu bɛn na hom dze ma, ma yɛdze mbuae aasan akɛma ɔman yi a wɔaka akyerɛ me, dɛ, Yɛ kɔndua a w’egya dze too hɛn do no harhar no?",na obisaa wɔn dɛ afoto bɛn na homadze ma ma yɛde mbuaye asan akama ɔman ye a wɔakaakyerɛm dɛ yɛ kondu a wogyade too hyɛn do no haahal no,0.5152,0.1455
3,"Na aka kakrabaabi na ebufuhyew no abɔ adze, na n’ebufuw adan ayɛ hɔn sɛɛe.",na akakeka beebi ma ebufo houn abaade na na ebufo adaŋ ayɛ hon sɛe,0.7857,0.3103
4,Judamba afamu dze no mu na Simeonmba egyapadze fi: osiandɛ Judamba kyɛpɛn no dɔɔ so dodow ma hɔn: dɛm ntsi Simeonmba nyaa egyapadze wɔ hɔn egyapadze no mu.,judambaafam de no mmu na simeɔn ɛjapade fi osan dɛ judam ba chɛpɛn no dɔɔ so dodo mmahɔn daminti simeɔn ba nya ɛjapade wɔ hɔna ejapade nom,0.8214,0.24
5,Aso wɔbɛka w’adɔyɛ akyerɛ wɔ adakamona mu?,ase wɔ baka waadɔ yɛ akyerɛo wɔ adekamunem,1.1429,0.2353
6,Obobu Bɛt-semes a ɔwɔ Egypt asaase do no n’edum no; na ɔdze gya ahyew Egypt abosom efi no nyina.,obobu bɛtɛ mesaa awo ejit asasedon na edumin na ɔzija aho egipt abosom afini nyina,0.7895,0.3108
7,"Ɔsor so sosɔɔw wɔ Nyankopɔn enyim: Sinai noara mpo wosoow wɔ Nyankopɔn, Israel Nyankopɔn no enyim.",ɔsoro so sosɔw wonyankopo n anyim sinda enoarɛmpo wosow wonyankopɔn israel nyankopo n anyim,0.875,0.175
8,"Nna Solomon kaa dɛ, EWURADZE ase dɛ, ɔbɛtsena sum kebii mu.",nna solo mo kaa dɛ erade ase dɛ ɔ ba tena sum kebiim,0.7273,0.1522
9,Na Netania ba Ismael nye mbarimba baawɔtwe fii Karea nsa kɔr Ammonmba no nkyɛn.,na natania ba ismael nyimberimba baa wɔtwee hwi karia nsa kɔɔ amom ba ne ncyen,0.7857,0.2
10,"Dɛm ntsi afei, meserɛ wo, bra, ma memma wo akwankyerɛ, ma edze agye wankasa woho nkwa, na wo ba Solomon nkwa.",demintaafii mesra o bera ma mema o akwancyerɛ ma edzaage wankasa wo honkwa na wo ba solo mɔnko,0.7143,0.2169
11,"Na sɛ eka hɛn asɛm yi kyerɛ a, ɔnodze, yennkedzi so wɔ wo ntam a ama yɛaka yi ho.",na sɛka nyɛn asam yi kyira a ɔne dze yɛnkedzi wo sum wɔ wontam a ama yɛ akanye hu,0.7895,0.2667
12,Mpo ber a Elnatan na Delaia na Gemaria totɔe serɛɛ ɔhen no dɛ nkyɛ mma ɔnnhyew nwoma mbobɔwee no: oenntsie hɔn.,mpo biraa elonatan na dalia na gamaria totɔe soɛ ɔnhen no dɛ nkhɛ ma ɔnhyeo nho ma mbo bo ween ntien,0.7619,0.2584
13,"Na Josua sanee, na Israel nyinara ka no ho, baa nseraban no mu wɔ Gilgal.",na jeswɛ sanee na israel nyinaara kano ho ba a nseraban nom wɔ gelga,0.6,0.125
14,"bɛnantsew hɔn bosom dzin mu nkorkor, na hɛn dze.",bɛnanti hɔn busom zini mu nkore kor na hiane ze,0.7778,0.2632
