sample_id,reference,hypothesis,wer,cer
0,Nsu kɔm de me,nsukɔm deme,1.0,0.0
1,Wo pɛsɛ wo yɛ deɛn ɛnɛ,wopɛ sɛ woyɛ dɛn ɛne,1.0,0.1176
2,Awi no rehwehwɛ ahu,ɛwi no rehwehwɛ ɛhu,0.5,0.125
3,Wɔ nnwomkorɔ kuo bi mu,wa innm kru kobިmu,1.0,0.4444
4,Nante yie,na nki yie,1.0,0.25
5,Te so ma me,se soma mi,1.0,0.25
6,Wobɛtumi akyerɛ me hɔ,wɔbɛtumi akyerɛ me hɔ,0.25,0.0556
7,Afenhyia pa,afisiapa,1.0,0.4
8,Nokware di etuo,nukware di atuu,0.6667,0.2308
9,Maa wɔn ho yɛɛ huam,máawọ hunyé hiàn,1.0,0.6667
10,Kafra,kafra,0.0,0.0
11,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),nipa ye bad,0.8571,0.7576
12,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),nipaya bad,0.8571,0.7576
13,"Kosɛ, manhyɛ da",kosɛ man shɛda,0.6667,0.1667
14,Woforo dua pa a na yɛ pia wo,wofor udua paa na epia ho,0.875,0.1905
15,Wote borɔfo,wote bro fol,1.0,0.3
16,Neho ayɛ fi  paa,ne ho ayɛ fi paa,0.5,0.0
17,Me ho yɛ paa,mhuypa,1.0,0.4444
18,Ko buu no,kobunu,1.0,0.2857
19,Mefri Ghana,mifwigaana,1.0,0.3
20,Me ho yɛ pa ara,mo yɛ paara,0.8,0.1818
21,Na biribiara dwoi,na brubiaa dwoe,0.6667,0.2667
22,Ɔmee ne Ɛfeɛ,omini efie,1.0,0.7
23,Me nsa aka,mense aka,0.6667,0.125
24,Nsuo,ntio,1.0,0.5
25,Wo se sɛn,osisein,1.0,0.5714
26,Meda wo ase,medá wasẹ,1.0,0.3333
27,Hello good morning. Mepaa’kyew mɛ tɔ credit (Maakye mepaa’kyew mɛ tɔ credit),hale good mone ma pa co meto credit,0.8333,0.6333
28,Mame bebree,náani bebee,1.0,0.5
29,Nti ɔtɔɔ afe fa bi,n ti ọtọ afífan bi,0.8,0.3571
30,Akwadaa wei,akwada a wei,1.0,0.0
31,Me sika no aka sɛn,mesi kano aka sɛen,0.8,0.0714
32,Apoobɔ nnyɛ,apobonye,1.0,0.4
33,Wo pɛ deɛn,otege,1.0,0.75
34,Pia no bio,piani biu,1.0,0.25
35,Me sika no aka sɛn,mesi ka no akasen,0.8,0.0714
36,Yɛbehyia biom,yɛbe hyia biom,1.0,0.0
37,Hwɛ soro,ชเซอ,1.0,1.0
38,Hyɛɛ n'anim teɛ,se nenim tie,1.0,0.5833
39,Na biribiara dwoi,anabiri bi aha johi,1.3333,0.3333
40,Yoo medaase,yowo medase,1.0,0.2
41,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),ni paya bad,0.8571,0.7576
42,Kɔɔ dua bi akyi,kɔɔ dia bi atyi,0.5,0.1667
43,Mefri Ghana,fre gaنa,1.0,0.5
44,Anwa a aguu asuafo no ho,awa a eguu asuafoɔ no ho,0.5,0.1579
45,Aane,aani,1.0,0.25
46,Daabi,debi,1.0,0.4
47,Kɔɔ dua bi akyi,kɔ edue bi ecyi,0.75,0.3333
48,Mepawokyɛw aane,me patel ãin,1.5,0.6429
49,Esian sɛ,esan ser,1.0,0.4286
