sample_id,reference,hypothesis,wer,cer
0,Mpaan ŋun kɔkɔ māntìi tú-ku dijool yilpuee sá ki tīī Unimbɔti ní.,m páańŋu kɔkɔ mantiitúku di joo yili puee sáá ki tīī unimbɔtini,0.8333,0.1731
1,ki ŋáań saraawɔkaa a-saraafaŋŋu pu.,ki ŋáań saraa wɔkaa asaraafaaŋu pu ti dindaan mɔtiikutibi mpɔn yan ti-biŋaan tūŋ mfáátiǹsì faa kí tàtī bin yikì kí jám bee cámmu bin náb bee ntaátiŋbmaŋ kíyikì,5.0,3.5517
2,Di sá yii bi dū m-bɔkpaaŋi nì m-marab ki fá kaa tɔ́-ŋi.,di sá yii bi dū mbɔ kpaaŋi nì mmàla bi kifá kaa tɔ́ŋ,0.5,0.1026
3,"Kii dipandi nín kaa ŋūǹ kí lòoǹ abil di-baba asee dí nīn túkú busubu puee, míǹ mbaantiim ní ni yaa kaa bí man ni, naa ŋūǹ kí lòoǹ abil.",kii dipandi nín kaa ŋūǹkí lòoǹ abil di-baba a sée di nīn túku bí soopueee míǹ mbaan tīīmi n ya kaa bí man ní naa ŋuǹkílòoŋ abil,0.5517,0.165
4,ní ki fàtīi fòol̄ u-fooku kun tìì dimaŋfalee.,ní ki fàtii fooli u-fɔ̃õ kù kun tìi dimanfalee,0.75,0.2
5,U nìn jáń ki fōō u-cee Beeteel nì Yeesana Eefrɔn timmu nì ntimbilimu mun pìl̄-muee.,unìn jáń ki fookuce beetel nì yesana ifurɔntimu nìn ntimbilni mun pilmue,0.7333,0.2462
6,ISIRAYEEL YAB BÍ SIINAAYI TEEKUN.,di kaan di di yil diba,1.2,0.7857
7,"Man a-Dindaan Unimbɔti nín bí dimaŋfalin nee, a-naal Soodoom nì ntimbilimu mun māntìi tú-kèe kaa pée ŋá ikpiti kii sii nì ntimbilimu mun māntìi tú-see nín ŋá puee.",man a dín dāan unimbɔti ním bí dimanfɔlndee a naal̄ soodɔm nì ń timbilm mum mantitúkie kaa pée ŋá ikpitikii sii nì ń timbilm mum mantìtúsee nín ŋa puee,0.6786,0.1769
8,"Kɔŋkɔnnee bibɔtiibi, nín̄ sámaan binib bin cáá iciinee!",kɔŋkɔnnee bibɔtiibi nín sá maaǹ binib bin cáá iciinee,0.25,0.0222
9,Niinee Mooyiisi ŋmàn̄ Unimbɔti marab ki dūu tīī Leefii yab bisaraaŋaliibi bin tūntí ti-Dindaan poondi dakaauee nì Isirayeel yab tindaŋkpilib kɔkɔ.,niinee mooyiisi ŋmān unimbɔti malabi ki diutii leefii yab bisadaa ŋaliibi bin tūntí ti-dindaan poondi da kaauee nì israelyeeb tinda kpilbikɔkɔ,0.5714,0.122
10,"Dibinluluútiil poonee, ní Yooyadaa dàkā tininjati.",di binlilibi tiili poone ni yoo yaa daa dika ti nin jɛti,2.0,0.2558
