sample_id,reference,hypothesis,wer,cer
0,"b Sɛ ɛpena suahu pee bɔ ɔfa sɔ dwirɛ he anwo a, nea Nhoma a Yehowa Adansefo De Yɛ Nhwehwɛmu nanu. Ekonwu ye wɔ edwirɛti bɔ yenwa “ Abɔfo ” nabo.",yɛbu bere dwura ne kenkakyɛɛ sɛ ɛpona suahu pɛn bɔ mfaso dwura he ahoɔ a nea nwoma a yehowa adasefo de yɛ nhwehwɛmu nan ekonwiwii dwura eti bɔn nwaa abɔfo na bɔ yɛbu bere dwura ne asi,0.8966,0.6055
1,"Sɛ Ɛkyɛ Nikye A, Ɔkɔmaa Wɔnye Kɔgye Paa",sɛ ɛkyenkye a ɔkɔma wɔnye kɔgye paa,0.375,0.0968
2,"BƐBƆ BƐNEA YAREFOƐ ANAA AWOROWAA NE, BƆ ƆMAA ƆYƐ SE KYƐ BƐNYE KƆHƆSO KƆGYE Ɔ",bɛbɔ bɛ ne ayarefo anaa aworowaa no bɔɔ ma ɔyɛ sekyɛ bɛnye kɔhɔso kɔgyew,0.6667,0.0656
3,"KURO ALIEMAAMƆ DWIRƐ, NA SÕ BƐ WƆFOƐ",kuro alieman bogyere na so bɛwɔ foɛ,0.7143,0.2759
4,Nzu yeɛ ɔkɔboka yɛ maa yɛkɔɔyɛ Kristofoɛ bɔ bɛbɔ bɛnwo mmɔden ɔ?,ndzɛmba yɛkɔ boka yɛma yɛkɔ ho yɛ kristofo bɛbɛbɔ bɛ nwo mmɔden o,1.0,0.25
5,"Yekonwu mmerɛ bɔ odikyɛ yɛkã Bible adesua nwo dwirɛ yekyire mmenia, ɔne mmerɛ bɔ odikyɛ yɛto yɛsa yɛfrɛ bɛ maa bɛba adesua ɔ.",yekonwu mmerɛw bɔ odikyia ɛka bible adesua nwodwerɛ yɛkyerɛ mmenua ɔne mmerɛw bɔ odikyia ɛto yɛ saa ɛfrɛ bɛma bɛba adesua ɔ,0.6087,0.1386
6,mmerɛ bɔ ɛpena kyɛ ɛkɔso di nahorɛ ma Yehowa ne?,mmerɛwɔ a ɛpɛnakyɛ ɛkɔ so di nahorow ma yehowa no,0.7,0.1579
7,Fa Nyameɛ Afutue Bɔ Ɔfa Nzãa Nwo Ne Bɔ Wɔ Bra,fa nyame afotu bɔɔfa ndzaw no ne bɔɔbra,0.8182,0.2286
8,"Sɛ yɛte edwirɛ bo a, sɛɛ yeɛ ɔkɔboka yɛ mmerɛ bɔ nningyein asesã wɔ y’asetena nu ne?",sɛ yɛtse yɛ edwura bo a sɛ yɛyɛ kɔbokae mmerɛwbɔ no nnyɛ asesan wɔ yɛn asetsena no nu,0.8824,0.3692
9,"Aliemaa bɔ ɔkɔyɛ kyaaman wɔ dapɛen afia adesua nabo ne, ɛyɛ a ɔfa afutue ma bɛbɔ bɛyɛ asuafoɛ dwumadie ne. Yeti sɛ sona ne yɛ ye dwumadie ne a, ɔfa yenye di yesi nea kyɛ, akwangyerɛ bɔ ɔfa ye dwumadie nanwo ne, ɔyɛ ye sɔ pɛpɛɛpɛ anaa.",alima bɔkɔyɛkye aman wɔdapɛn afi adesua no abɔ no ɛyɛ ɔfafotu mu abɛw bɛyɛ asuafo edwumadi no yi te sɛ sonoa no yɛ edwumadi no a ɔfa nye dii sini akyɛ akwangyeɛ bɔ wɔ dwumadi no ahon ɔyɛ nsɔ pɛpɛɛpɛ anaa,0.8085,0.2418
10,"KYƐBƆ YEHOWA SE YƐ NE, ƆBO Y’ADWENE NE YƐ NDEASEƐ SO",kyɛ bɔ yehowa see no ɔbɔ yɛn adwene ne yɛn dease so,0.8182,0.175
